,Open,High,Low,Adj Close,RSI,EMAF,EMAM,EMAS,Target,TargetClass,TargetNextClose
1495,1621.6400146484375,1621.6400146484375,1614.010009765625,1617.52001953125,61.12217286847322,1606.3607915658195,1560.7603943595464,1540.0609978567795,-1.7000732421875,0,1615.93994140625
1496,1617.6400146484375,1620.1500244140625,1615.0899658203125,1615.93994140625,59.90178633719068,1607.2730915506222,1561.853058657501,1541.06601697664,-5.8299560546875,0,1610.030029296875
1497,1615.8599853515625,1623.949951171875,1608.97998046875,1610.030029296875,55.46391385825475,1607.5356570502654,1562.8070580761023,1541.979447603398,3.669921875,1,1614.3199462890625
1498,1610.6500244140625,1621.3299560546875,1610.6500244140625,1614.3199462890625,57.89023854124452,1608.181779834913,1563.827115268438,1542.9375999038707,1.02001953125,1,1614.5400390625
1499,1613.52001953125,1617.9200439453125,1610.97998046875,1614.5400390625,58.01596917879792,1608.7873283327783,1564.8313315811918,1543.8859765814684,2.47998046875,1,1619.0899658203125
1500,1616.6099853515625,1626.56005859375,1615.5400390625,1619.0899658203125,60.62027994862572,1609.7685319030197,1565.9057599819664,1544.8820559091353,-1.409912109375,0,1617.6600341796875
1501,1619.0699462890625,1622.1400146484375,1615.5400390625,1617.6600341796875,59.37999093869648,1610.5201035484165,1566.9305970947926,1545.8460026411956,1.5499267578125,1,1619.3499755859375
1502,1617.800048828125,1626.5799560546875,1617.1199951171875,1619.3499755859375,60.40577604100275,1611.361043742466,1567.9686045896667,1546.819565196755,-13.969970703125,0,1605.1300048828125
1503,1619.0999755859375,1619.0999755859375,1595.8499755859375,1605.1300048828125,49.20357614320108,1610.767611470118,1568.7044739024022,1547.5918889012062,-9.5400390625,0,1595.8199462890625
1504,1605.3599853515625,1609.22998046875,1586.72998046875,1595.8199462890625,43.53954454230695,1609.3440243100176,1569.241413949663,1548.230671118264,-0.3699951171875,0,1594.0899658203125
1505,1594.4599609375,1597.1099853515625,1582.260009765625,1594.0899658203125,42.56405195667092,1607.8912568348076,1569.733464481755,1548.8380789951123,-2.510009765625,0,1591.3399658203125
1506,1593.8499755859375,1599.56005859375,1588.7099609375,1591.3399658203125,40.999557676479924,1606.3149434048557,1570.1613159934095,1549.4010178934593,-51.47998046875,0,1539.260009765625
1507,1590.739990234375,1590.739990234375,1538.8699951171875,1539.260009765625,23.484456105103718,1599.9287592487385,1569.549408939394,1549.2666999050111,-30.8900146484375,0,1508.1400146484375
1508,1539.030029296875,1544.47998046875,1499.47998046875,1508.1400146484375,18.440800785624965,1591.1869740487098,1568.333381329672,1548.721975596977,20.31005859375,1,1529.1500244140625
1509,1508.8399658203125,1534.0699462890625,1508.510009765625,1529.1500244140625,29.407444940110903,1585.2786931311243,1567.5574732719372,1548.4627444554815,-7.97998046875,0,1521.1199951171875
1510,1529.0999755859375,1534.449951171875,1519.6400146484375,1521.1199951171875,27.87270761077216,1579.1683409393208,1566.6379192490708,1548.1005888351067,31.6099853515625,1,1554.25
